    2024-04-20 18:02:32 info: Dice Result :  60305558133332388960592878786169648744804214461902077253639494906267168233171
    2024-04-20 18:02:32 info:  Winner: ElCisne82, Total number of tickets : 354721, Random number (moduloed) : 292179, Random number : 1105647730660767447041045186378802855806960324284526418525172841337895793929
    2024-04-20 18:02:32 info:  Winner: OneWingedShadow, Total number of tickets : 354720, Random number (moduloed) : 134710, Random number : 84307839178957107093784009024904187318462059754086601509614466219785523811190
    2024-04-20 18:02:32 info:  Winner: Tractodoteth, Total number of tickets : 354719, Random number (moduloed) : 193742, Random number : 106497377044218413618359403383102308442623933489260293614062421063022200662052
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354718, Random number (moduloed) : 37992, Random number : 9687575261035123560900468547008500046391042403863185360689796506446931436750
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354717, Random number (moduloed) : 29615, Random number : 766546753335049770266045958401145669651509679321501196120063330330107717119
    2024-04-20 18:02:32 info:  Winner: doodlelamahh, Total number of tickets : 354716, Random number (moduloed) : 239429, Random number : 81167284957267964911446726251646219633570887076408502019175898236385445147193
    2024-04-20 18:02:32 info:  Winner: CryptoLeki, Total number of tickets : 354715, Random number (moduloed) : 96028, Random number : 2494858782963739207716720966089453423259644111047350760950237118028565261163
    2024-04-20 18:02:32 info:  Winner: Dorji132663Nima, Total number of tickets : 354714, Random number (moduloed) : 338569, Random number : 74066900190993935650000882476180238509780178864545802073593145805492220955839
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354713, Random number (moduloed) : 36134, Random number : 48105754384658287079914317734959365774411858133380492537851570767225892656416
    2024-04-20 18:02:32 info:  Winner: phillipliujr, Total number of tickets : 354712, Random number (moduloed) : 222451, Random number : 7528867272669801565147742446975717231363073056502183684604869223214309044611
    2024-04-20 18:02:32 info:  Winner: KeslerNFT, Total number of tickets : 354711, Random number (moduloed) : 326970, Random number : 90897300232284554035973798721359283548101873067825377265454897917950966268790
    2024-04-20 18:02:32 info:  Winner: Occupy49er, Total number of tickets : 354710, Random number (moduloed) : 164284, Random number : 17456180565899665962151842822624465233419449930429427415272118492562165148784
    2024-04-20 18:02:32 info:  Winner: cryptosuperfly, Total number of tickets : 354709, Random number (moduloed) : 266339, Random number : 53188360935722390759639397911207712693458831750414361199442306395637903569593
    2024-04-20 18:02:32 info:  Winner: Castillo_Juan_, Total number of tickets : 354708, Random number (moduloed) : 93653, Random number : 88957725891136164357861860803360936438952036877160286429430818545318886201633
    2024-04-20 18:02:32 info:  Winner: monteegeez, Total number of tickets : 354707, Random number (moduloed) : 314471, Random number : 93664852197984802439067958407368975667578402516275883019749605138962446388535
    2024-04-20 18:02:32 info:  Winner: OneWingedShadow, Total number of tickets : 354706, Random number (moduloed) : 136779, Random number : 28396082896331524669704371768101303413513663763504493443564650417207288885879
    2024-04-20 18:02:32 info:  Winner: Ace0fTrades, Total number of tickets : 354705, Random number (moduloed) : 87971, Random number : 2362089274548310125664332673410610418353767773396011278085290964006215811361
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354704, Random number (moduloed) : 19705, Random number : 62255404885305963139021852214906288146912006772451097709621926911288815376265
    2024-04-20 18:02:32 info:  Winner: Virgil_btc, Total number of tickets : 354703, Random number (moduloed) : 342111, Random number : 34259932493290925028023711998897131541889439785946501876290853281286847542706
    2024-04-20 18:02:32 info:  Winner: TheCuriousCake, Total number of tickets : 354702, Random number (moduloed) : 258883, Random number : 51106148836499616954274194126432761305546573434606824045401546922804195657311
    2024-04-20 18:02:32 info:  Winner: DrSausagesPHD, Total number of tickets : 354701, Random number (moduloed) : 167437, Random number : 5205000963967447186214553445625688111752414479472811147824906442117526665589
    2024-04-20 18:02:32 info:  Winner: OneWingedShadow, Total number of tickets : 354700, Random number (moduloed) : 136607, Random number : 77039020555893618431828295718368361346335712717943097210341102840054159848207
    2024-04-20 18:02:32 info:  Winner: euroXjojo, Total number of tickets : 354699, Random number (moduloed) : 260095, Random number : 29258687458801419276997738119555990030266734912272793143616791275944504039642
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354698, Random number (moduloed) : 39561, Random number : 12257061806439973570779372479497661740297141986223016950546794092434302410489
    2024-04-20 18:02:32 info:  Winner: Flowslikeosmo, Total number of tickets : 354697, Random number (moduloed) : 48600, Random number : 9978381169631513327635497481128615007890506504903300676865047801466466785322
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354696, Random number (moduloed) : 13835, Random number : 75266530724596307296769200650278720572352036488144857889550887845337843156811
    2024-04-20 18:02:32 info:  Winner: CryptoLeki, Total number of tickets : 354695, Random number (moduloed) : 99423, Random number : 54912289510203779072959888312900761090028057885959435460112871524123646509773
    2024-04-20 18:02:32 info:  Winner: boughtstocks, Total number of tickets : 354694, Random number (moduloed) : 53189, Random number : 4665977327348391416640932431268207345227118615388543632993342992551552141311
    2024-04-20 18:02:32 info:  Winner: palden_wan9837, Total number of tickets : 354693, Random number (moduloed) : 195864, Random number : 2197271667627095691267833074530725162081957685828133253533864777889039087910
    2024-04-20 18:02:32 info:  Winner: Tom22265373, Total number of tickets : 354692, Random number (moduloed) : 242054, Random number : 53093886969822740702251697740171328950039256339195755043224777557658652237078
    2024-04-20 18:02:32 info:  Winner: nobsfud, Total number of tickets : 354691, Random number (moduloed) : 172406, Random number : 26819605146807098465716338804764101005711450819450323035043053946585239187811
    2024-04-20 18:02:32 info:  Winner: kilicsevket, Total number of tickets : 354690, Random number (moduloed) : 216561, Random number : 115607789461032030546971550046247798972081382145971695163263682536277058382481
    2024-04-20 18:02:32 info:  Winner: thetopsignal, Total number of tickets : 354689, Random number (moduloed) : 106460, Random number : 97205076701010183795581122904886640772594127592648001286835668314234228661654
    2024-04-20 18:02:32 info:  Winner: Kyrzel1, Total number of tickets : 354688, Random number (moduloed) : 204638, Random number : 72466708925289494198376876535809419890384782799883552294346428746217412215774
    2024-04-20 18:02:32 info:  Winner: Soukolyn, Total number of tickets : 354687, Random number (moduloed) : 160119, Random number : 4681456418988204051621291694393902262551652456771394748027715918986582717225
    2024-04-20 18:02:32 info:  Winner: NCConnois, Total number of tickets : 354686, Random number (moduloed) : 142589, Random number : 52118830679451436498933641895994148002105451902065388478037093527907570965059
    2024-04-20 18:02:32 info:  Winner: CryptoKaleo, Total number of tickets : 354685, Random number (moduloed) : 156293, Random number : 56666334514017972051296581705553500339258200361394323165962019412812178141658
    2024-04-20 18:02:32 info:  Winner: Florida__Man__, Total number of tickets : 354684, Random number (moduloed) : 148285, Random number : 27693150820064703342895254625488741504770842093588838001758228457689003040313
    2024-04-20 18:02:32 info:  Winner: blockpalette, Total number of tickets : 354683, Random number (moduloed) : 226659, Random number : 77558539458170242649724546250079901624256102264884747449482311554906952606162
    2024-04-20 18:02:32 info:  Winner: Florida__Man__, Total number of tickets : 354682, Random number (moduloed) : 149364, Random number : 72881382911674980671485109084588076407078348383046587975130569612963620907370
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354681, Random number (moduloed) : 40750, Random number : 9938168616657232323975149352181318426214913327846519243026437939243739092969
    2024-04-20 18:02:32 info:  Winner: mustafayaklav1, Total number of tickets : 354680, Random number (moduloed) : 294659, Random number : 40601038847636867099394573822648605992639812080212389160123691495220354966299
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354679, Random number (moduloed) : 1568, Random number : 37026145287372891241260637437841631778040165046204587777795989400299151889960
    2024-04-20 18:02:32 info:  Winner: defi_mochi, Total number of tickets : 354678, Random number (moduloed) : 305082, Random number : 95629580648155640872521197849663239456127451644778136390916417590069922974134
    2024-04-20 18:02:32 info:  Winner: Darknftgames, Total number of tickets : 354677, Random number (moduloed) : 140360, Random number : 22779971796017121868000354398949077662338478839798132859914489491256929933502
    2024-04-20 18:02:32 info:  Winner: Castillo_Juan_, Total number of tickets : 354676, Random number (moduloed) : 93049, Random number : 19352618243404199728697613298458178861335887400021450625646950590453961293949
    2024-04-20 18:02:32 info:  Winner: isaac31859155, Total number of tickets : 354675, Random number (moduloed) : 128240, Random number : 59718829203375988166400556781136231565393872845443807058135847822365531481665
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354674, Random number (moduloed) : 6868, Random number : 11575697595722057808601852120514499821828556004250478410641815099846289015570
    2024-04-20 18:02:32 info:  Winner: TheDazzleNovak, Total number of tickets : 354673, Random number (moduloed) : 147020, Random number : 78278723078268231199158973930031328444047579222116818256485006740010217445877
    2024-04-20 18:02:32 info:  Winner: donielXX, Total number of tickets : 354672, Random number (moduloed) : 278732, Random number : 12358226576920971828583144232542857666407606609253691529358234590997712352204
    2024-04-20 18:02:32 info:  Winner: CornyCupid, Total number of tickets : 354671, Random number (moduloed) : 259324, Random number : 102411135616396388085256516743843763093871514194394420410464304260935694491674
    2024-04-20 18:02:32 info:  Winner: Yukal72, Total number of tickets : 354670, Random number (moduloed) : 274749, Random number : 35850651456617812912136598792684311741714573917994917739603587242777543542359
    2024-04-20 18:02:32 info:  Winner: TFOACount, Total number of tickets : 354669, Random number (moduloed) : 61738, Random number : 47887684006026464105975642075989750599868731289965744839377321680181025601616
    2024-04-20 18:02:32 info:  Winner: gazpach0_s0up, Total number of tickets : 354668, Random number (moduloed) : 229033, Random number : 6240195961655378207786762719323050505861001295735052253925300703764463860877
    2024-04-20 18:02:32 info:  Winner: eyeamfin, Total number of tickets : 354667, Random number (moduloed) : 240432, Random number : 33839169535907236584350634030176663616150715354821247477449667434149986159715
    2024-04-20 18:02:32 info:  Winner: defichic1, Total number of tickets : 354666, Random number (moduloed) : 316461, Random number : 75907678911047796816277648235743299484877478453066780014963520610675334325339
    2024-04-20 18:02:32 info:  Winner: Unbouded, Total number of tickets : 354665, Random number (moduloed) : 224098, Random number : 2370764892867292727068025909868499067698738852116674981834918904707791626698
    2024-04-20 18:02:32 info:  Winner: Den74509374, Total number of tickets : 354664, Random number (moduloed) : 74663, Random number : 49461643856165272514443690469535908501928085324683541182674428160194549392775
    2024-04-20 18:02:32 info:  Winner: Low_caps_only, Total number of tickets : 354663, Random number (moduloed) : 115434, Random number : 1215938539046389678911192291506437650053215816758068163315691128422530593651
2024-04-22 19:00:34 info: Dice Result :  81807321063715919093434442787754595724238698065213016181620452966983440782003
2024-04-22 19:00:34 info:  Winner: boughtstocks, Total number of tickets : 337382, Random number (moduloed) : 56215, Random number : 81807321063715919093434442787754595724238698065213016181620452966983440782003
2024-04-22 19:00:34 info:  Winner: bornwildA, Total number of tickets : 337381, Random number (moduloed) : 327598, Random number : 66947797575933422444803836921811669566112211585292059589004257966298346590915
2024-04-22 19:00:34 info:  Winner: cryptosuperfly, Total number of tickets : 337380, Random number (moduloed) : 249215, Random number : 73519913153293547158857733002177407813297424709530601509284823819665307065915
2024-04-22 19:00:34 info:  Winner: monteegeez, Total number of tickets : 337379, Random number (moduloed) : 297461, Random number : 46695017569222161020127805132706529530127239096037264984286825747372148255396
2024-04-22 19:00:34 info:  Winner: isaac31859155, Total number of tickets : 337378, Random number (moduloed) : 119811, Random number : 20293367270276432736107995813183178121844980182781517071494104933237871117001
2024-04-22 19:00:34 info:  Winner: WojakSatoshi, Total number of tickets : 337377, Random number (moduloed) : 271041, Random number : 82578451650521885245588021594002776218918664062196987284340278515801207146697
2024-04-22 19:00:34 info:  Winner: Tedz_Nftz, Total number of tickets : 337376, Random number (moduloed) : 165349, Random number : 16063728394636536702470392568578910248285526275121124047486839002136875820517
2024-04-22 19:00:34 info:  Winner: Puneeth_sgr, Total number of tickets : 337375, Random number (moduloed) : 324186, Random number : 78965994593597330221789800076672559372138171046951528865432211459588646222061
2024-04-22 19:00:34 info:  Winner: Flowslikeosmo, Total number of tickets : 337374, Random number (moduloed) : 43762, Random number : 113109975742346092534483626406751681847260059020400138908060701498128012980502
2024-04-22 19:00:34 info:  Winner: avaxshare, Total number of tickets : 337373, Random number (moduloed) : 293741, Random number : 111442604288810109337032049957686604036203502241816532828578379236360498718201
